Modality,StudyDescription,BodyPartExamined,SeriesDescription,series_count
CT,CT Head,HEAD,5,172459
CT,CT Head,,Patient Protocol,105131
CT,CT Head,,Scout,94958
CT,CT Head,,SCOUT,94665
CT,CT Head,HEAD,2,93839
CT,CT Head,,Dose Report,82848
CT,CT Head,HEAD,Topogram  0.6  T20f,50307
CT,CT Head,HEAD,Topogram,47042
CT,CT Head,HEAD,Head 1.0,43383
CT,Head^1_Head_SAFIRE (Adult),HEAD,Head  1.0  J70h  3,43020
CT,CT Head,,0.6MM,40439
CT,CT Thorax & abdo & pel,,Dose Report,36922
CT,Head^1_Head_SAFIRE (Adult),,Patient Protocol,36835
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Dose Report,34379
CT,CT Thorax abdomen pelvis with contrast,,Patient Protocol,31396
CT,NM Whole body PET FDG,,Dose Report,30749
CT,CT Head,,0.625mm Soft,30058
CT,CT Head,,2,29132
CT,CT Head,HEAD,Topogram  0.6  T20s,28975
CT,CT Head,HEAD,Bone 1.0,28861
CT,CT Head,,1.25mm Brain,28479
CT,CT Angiogram pulmonary,,Smart Prep Series,27871
CT,Head^RoutineSpiralHead (Adult),,Patient Protocol,25830
CT,CT Angiogram pulmonary,,Dose Report,25651
CT,CT Head,,0.625mm Bone,25515
CT,CT Head,HEAD,Head  1.0   3D,25499
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Patient Protocol,25149
CT,Head^HeadRoutine (Adult),HEAD,Head  1.0,24915
CT,Head^1_Head_SAFIRE (Adult),HEAD,Head  1.0  J30s  3,24426
CT,CT Thorax abdomen pelvis with contrast,,Dose Report,23767
CT,Head^RoutineSpiralHead (Adult),HEAD,Head  1.0  H31s,23409
CT,Head^RoutineSpiralHead (Adult),HEAD,Topogram,22512
CT,Head^RoutineSpiralHead (Adult),HEAD,5mm Brain MPR,21992
CT,CT Thorax & abdo & pel,,SCOUT CHEST/ABDOMEN/PELVIS,21708
CT,CT Abdomen/Pelvis With Contrast,,Scout,21518
CT,CT Angiogram Pulmonary,,Patient Protocol,21418
CT,Abdomen^1_AbdomenPelvis_SAFIRE (Adult),ABDOMEN,Abdomen  1.0  I26f  3,20806
CT,Head^Ayr_Head_Spiral (Adult),HEAD,Topogram,20466
CT,Head^Ayr_Head_Spiral (Adult),,Patient Protocol,20442
CT,HEAD,HEAD,Head 0.5,20167
CT,CT Angiogram pulmonary,,SCOUT,20034
CT,CT Colonoscopy (Virtual),ABDOMEN,Topogram  0.6  T20f,19790
CT,CT Chest/Abdo With Contrast,,Dose Report,19741
CT,CT Head,HEAD,Head 0.5,19613
CT,HEAD,HEAD,5,19287
CT,CT Head,HEAD,Head  1.0  H60s,18786
CT,CT Abdomen and pelvis with contrast,ABDOMEN,2,17502
CT,Head^HeadRoutine (Adult),HEAD,Topogram  0.6,17258
CT,CT Thorax & abdo & pel,,Smart Prep Series,16783
CT,Head^HeadRoutine (Adult),,Patient Protocol,16645
CT,Head,HEAD,5,16468
